id,Layer,Site,total
1,First Layer,PISA, 620000 
2,First Layer,Edu topic, 113000 
3,First Layer,Skills, 30000 
4,First Layer,Education GPS, 19000 
5,First Layer,Edu directorate, 18000 
6,Second Layer,PIAAC, 35000 
7,Second Layer,TALIS, 30000 
8,Second Layer,CERI, 15000 
9,Second Layer,Early childhood and schools, 12000 
10,Second Layer,Innovation and education, 11000 
11,Second Layer,ES Online assessment, 10000 
12,Second Layer,Skills beyond school, 9000 
13,Second Layer,Research and knowledge management, 6000 
14,Second Layer,IMHE, 4000 
